center x,center y,center z,number,O1 num1,O1 num2,O1 num3,O1 num4
47.13,13.044163635515488,0.2515887136254238,1,0,22,63,1250
58.956,48.204249999999995,19.06025,2,1,17,33,57
54.45575,45.605999999999995,32.24825,3,1,21,46,62
39.804249999999996,45.605999999999995,32.24825,4,2,23,62,1294
47.13,4.585740906546469,12.21425,5,3,20,63,1222
27.535999999999998,38.523,12.21425,6,4,14,67,1112
66.72375,24.357,32.24825,7,5,13,43,66
58.956,34.038,39.09375,8,5,21,25,59
59.397999999999996,11.66849090654647,32.24825,9,6,15,66,1170
34.86175,34.29316363551549,0.2515887136254238,10,7,12,67,1146
34.86175,11.66849090654647,32.24825,11,8,18,64,1092
71.22425,26.955250000000003,19.06025,12,9,13,29,61
66.72375,38.523,12.21425,13,9,17,36,65
59.397999999999996,34.29316363551549,0.2515887136254238,14,10,19,65,1042
27.535999999999998,24.357,32.24825,15,11,16,64,1060
27.23975,15.727,11.12075,16,24,28,32,49
47.129999999999995,27.210250000000002,43.601,17,25,30,35,48
47.13,50.1775,11.12075,18,26,31,33,51
67.02025,15.726999999999999,11.12075,19,27,29,34,50
78.55,45.350750000000005,7.70725,20,36,40,44,53
98.44024999999999,56.8345,40.188250000000004,21,37,42,47,52
78.55,22.3835,40.18825,22,38,43,45,55
58.65975,56.8345,40.188250000000004,23,39,41,46,54
15.709999999999996,9.070154542061958,6.413838713625424,24,49,1328,1372,1404
109.97,63.49134545793804,44.89516128637458,25,52,1459,1493,1513
90.81800000000001,38.26750909345353,51.056983859123726,26,56,81,575,965
98.14375,34.038000000000004,39.09375,27,56,141,505,999
66.28175,60.89302728036059,19.060249999999996,28,57,161,551,915
98.14375,48.20425,19.060249999999996,29,58,193,687,765
90.81800000000001,60.89302728036059,19.06025,30,58,239,603,785
66.28175,38.26750909345353,51.056983859123726,31,59,263,653,705
78.55000000000001,67.9760272803606,39.09375,32,60,291,473,863
78.55000000000001,59.51675909345353,51.056983859123726,33,60,341,393,887
85.87575,26.955250000000003,19.06025,34,61,375,453,817
